Unnamed: 0,participant,audio1,audio2,audio3,participantId,derivationStrengthNative,derivationStrengthNonNative
32,69c2f0033339865c279814ca,the word i choose is first,word i choose is tied,i put those sliders in those positions because number two is fat and number 3 is a bit fatter so there's a possible chance that could be either one of the two but i'm leaving more toward it being two so maybe i should have split it up a bit more i didn't pick one because it's only one where the guy is slim and not fat it's only 2 and 3 were the best choices that i made,69c2f0033339865c279814ca,43.75,31.25
34,699e3cc79b0d3d96b469ca49,the word i choose is first,word i choose is tied,i put the slider primarily at the four star image for the highest percentage 75% just in consideration that excellent is one of the other words this speaker also sounds like a native english speaker so i would expect that they understand difference between excellent and good and would have purposely chosen the word good to indicate that it was you know a good score a four star rating is good but it's not excellent like a five-star rating is,699e3cc79b0d3d96b469ca49,54.125,47.5
35,6a1f832105dd8c89b5e930ad,first,tied,put the sliders in these positions because i don't really understand i know she's like angry but the last one looks that the first one looks disgusted the last one looks like she could be upset,6a1f832105dd8c89b5e930ad,100,75.75
42,69daf476f6bc0d990581aca6,the word i choose is first,the word i choose is tied,i chose to put it in on 100 because the other ones don't look they don't they don't follow the emotion that was expressed,69daf476f6bc0d990581aca6,67.5,57.5
44,6a1a3e6d47ea4b557072cc4d,the word i choose is first,the word i choose is tied,so sometimes it was very direct in which there was no other word in the list that could have been used to describe an object like if it was just up and there was one arrow pointing up and no other ones and that was a clear answer however sometimes there was an option in which one word could have fit if there wasn't a better word there to describe that option relative to the other ones like if they're often was big or enormous and the images i would otherwise be described as you know big but giving it was the most extreme option i would have chosen it as enormous or if i would other END,6a1a3e6d47ea4b557072cc4d,76.125,63.125
46,69f86a04fe802de5002bb70b,first,the word i choose is tied,i chose to place the sliders how they are because given the fact that excellent is an option only describing the five stars and that word wasn't chosen it seems completely obvious and only logical that the word good would apply the four star option by deduction,69f86a04fe802de5002bb70b,93.625,79.875
47,6a2589e7b0645f2f7f1cc52c,the word i chose is first,tied,~~~~~~~~ ERROR ~~~~~,6a2589e7b0645f2f7f1cc52c,87.5,62.5
51,69bdf2afe629d42bfc47997f,the word i choose is first,word i choose is tied,i chose to put it at 100% for the four star option because the five star is excellent and the two star is bad,69bdf2afe629d42bfc47997f,91.75,84
52,6a023ad806e8158958e73b75,the word i choose is first,the word i choose is tied,"the words he chose is fast, if you look at the images and words there's also obese which i feel like would fit for number 3 so i chose number 2 for fat because that made more sense",6a023ad806e8158958e73b75,63.75,62.375
58,69fcc8642de981c893eb6958,first,tied,4 star would be good but i thought maybe because of the language barrier they might have trouble distinguishing between good and excellent,69fcc8642de981c893eb6958,81.375,67.25
59,69f0438cc141b27ed949788e,the word i choose is first,the word i choose is tied,because I think 2 is just OK i think that 3 to 4 in this case it's 4 is good and then i chose all or i didn't so i chose four cuz i think it's good i didn't choose five because in my mind 5 would be excellent and then one would be bad and then i think two is good,69f0438cc141b27ed949788e,87.5,12.5
60,699cebf39bc275a312ffd51c,the word i choose is first,word i choose is tied,i decided to put the sliders in those positions because according to the words that we had to choose from i i tried to do like process of elimination there were a couple that i was uncertain of completely so i just kind of tried to do yeah the process of elimination,699cebf39bc275a312ffd51c,50,31.25
62,695ea002344d7ca1605c747a,where did i choose is first,shoes is tied,the top one looks more angry than the others do,695ea002344d7ca1605c747a,62.5,55.125
64,69fb3314a5e95601464d1fea,the word i choose is first,the word i choose is tied,~~~~~~~~ ERROR ~~~~~,69fb3314a5e95601464d1fea,29.75,2.625
70,6a0b756dd47d16a4c82f5589,the word i choose is first,the word i choose is tied,that seems to be the middle option of all the word options available because there's thin and obese on the other end also potentially monstrous i figured anyone who read all the options would probably use fat as the middle option for the pictures but i figured some people may not have read through all the options and may have selected fat for the fattest option from the pictures,6a0b756dd47d16a4c82f5589,73.75,51.25
71,69f3d4f3fb7630947c56f1eb,the word i choose is first,the word i choose is tied,one of the faces is like pretty neutral one of them is happy and there's basically only one negative one from like frown and eyebrows and stuff and so i put it all on that one,69f3d4f3fb7630947c56f1eb,86.875,71.875
84,6a04948f1e40214a25ff2563,the word i choose is first,the word i choose is tied,i put my sliders in that position because both two and three could be considered fat but three can also be considered obese but it but because the word i was given by the recording was fat it could be two or three because both would be considered fat but three would also be considered obese,6a04948f1e40214a25ff2563,38.625,35.25
86,69b19e44edf4d70aee145c16,the word i choose is first,the word i choose is tied,i chose to put the sliders in those positions based on what the what the participants said and that it matched the words based on what the participant said,69b19e44edf4d70aee145c16,29,12.5
87,6a14c736578656591db6ea31,the word i chose is first,the word i chose is tied,i'm not really sure what this person considers to be fat as that's kind of an objective thing versus a word like obese which has a more concrete definition so that's why i came to the sliders like that because i'm not sure how they define that word,6a14c736578656591db6ea31,47,36.5
89,69e599577d00fb31c54fb004,the word I choose is first,the word i choose is tied,"I think it was fairly clear what they were trying to convey from the words they chose and if we?함re looking at this one specifically, it could?함ve been three or four, just because five stars is great and 4 stars is good. it could?함ve been either or",69e599577d00fb31c54fb004,33.125,23.625
90,699d45af20adaa6e1e89aa5a,word i choose is first,word i choose is tied,she is the only one that looks angry to me so that is why i decided to give that one the full 100,699d45af20adaa6e1e89aa5a,58.5,48.25
94,6a0b7296246f70341f078e55,where did i choose is first,the word i choose is tied,looking at the words i see thin which probably correlates to one fat which correlates to two and obese which would correlate to 3,6a0b7296246f70341f078e55,62.5,53
96,6a0f1056788a67850f057de4,the word i choose is first,the word i choose is tied,because good is 4 stars excellent is 5,6a0f1056788a67850f057de4,87.5,50
